"","3","4","5","6","18","33","36","37","40","41","42","43","44","45","48","49","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","82","83","134","135","136","137","220","221","259","367","370","373","1","2","7","11","34","206","207","210","211","212","213","214","215","257","263","264","265","368","369","399","400","401","404","405","409","410","413","415","418","419","420","422","424","425","428","430","432","433","435"
"3",0.00357999270025515,0.00186988854076909,0.00179161366020651,0.00184417257869945,0,0,0,0,0.00186683813485093,0.00184065558907575,0.00186683813485093,0.00184065558907575,0.00187287254071812,0.00186899479423595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0.00186988854076909,0.00390669305515663,0.00187157803560145,0.00192648279526654,0,0,0,0,0.00195015997411375,0.00192280883325266,0.00195015997411375,0.00192280883325266,0.00195646371120271,0.00195241289081389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0.00179161366020651,0.00187157803560145,0.00358646486313764,0.00184583883846507,0,0,0,0,0.0018685248735591,0.0018423186711462,0.0018685248735591,0.0018423186711462,0.00187456473167508,0.00187068348154416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0.00184417257869945,0.00192648279526654,0.00184583883846507,0.00379997702205882,0,0,0,0,0.00192334006542368,0.00189636507580669,0.00192334006542368,0.00189636507580669,0.00192955710928984,0.00192556199850145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0,0,0,0,0.00550153930705429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00887879571589356,0.00793222202417813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",0,0,0,0,0,0.0335004790026878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",0,0,0,0,0,0,0.00480571969352442,0.00284117452718336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",0,0,0,0,0,0,0.00284117452718336,0.00671888766612233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",0.00186683813485093,0.00195015997411375,0.0018685248735591,0.00192334006542368,0,0,0,0,0.0038939572379411,0.00191967209685551,0.00194697861897055,0.00191967209685551,0.00195327207258191,0.00194922786041931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",0.00184065558907575,0.00192280883325266,0.0018423186711462,0.00189636507580669,0,0,0,0,0.00191967209685551,0.00378549710154919,0.00191967209685551,0.00189274855077459,0.00192587728430486,0.00192188979252315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",0.00186683813485093,0.00195015997411375,0.0018685248735591,0.00192334006542368,0,0,0,0,0.00194697861897055,0.00191967209685551,0.0038939572379411,0.00191967209685551,0.00195327207258191,0.00194922786041931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",0.00184065558907575,0.00192280883325266,0.0018423186711462,0.00189636507580669,0,0,0,0,0.00191967209685551,0.00189274855077459,0.00191967209685551,0.00378549710154919,0.00192587728430486,0.00192188979252315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
