"","3","4","5","6","17","18","19","20","21","22","23","24","33","36","37","38","39","40","41","42","43","44","45","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","74","75","76","78","79","80","82","83","84","85","86","87","88","89","90","91","92","94","95","96","98","99","100","102","103","104","106","107","108","110","111","112","114","115","116","118","119","120","122","123","124","220","221","222"
"3",0.00357999270025515,0.00186988854076909,0.00179161366020651,0.00184417257869945,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00186683813485093,0.00184065558907575,0.00186683813485093,0.00184065558907575,0.00187287254071812,0.00186899479423595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0.00186988854076909,0.00390669305515663,0.00187157803560145,0.00192648279526654,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00195015997411375,0.00192280883325266,0.00195015997411375,0.00192280883325266,0.00195646371120271,0.00195241289081389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0.00179161366020651,0.00187157803560145,0.00358646486313764,0.00184583883846507,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018685248735591,0.0018423186711462,0.0018685248735591,0.0018423186711462,0.00187456473167508,0.00187068348154416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0.00184417257869945,0.00192648279526654,0.00184583883846507,0.00379997702205882,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00192334006542368,0.00189636507580669,0.00192334006542368,0.00189636507580669,0.00192955710928984,0.00192556199850145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",0,0,0,0,0.00525282986359845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00740826168593426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0,0,0,0,0,0.00550153930705429,0.00362010726998352,0.00360020115634864,0.00354939447595823,0.00468202011459224,0.00503471917252825,0.00351017222642485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",0,0,0,0,0,0.00362010726998352,0.0095283708175154,0.00473798828003981,0.00467112494496948,0.00616169915692912,0.00662586322174397,0.00461950711848269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0.00360020115634864,0.00473798828003981,0.00942387040627296,0.00464543953373091,0.00612781743065577,0.00658942916706421,0.00459410554146311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",0,0,0,0,0,0.00354939447595823,0.00467112494496948,0.00464543953373091,0.00915976452612735,0.00604134057889955,0.00649643796820969,0.00452927270524413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",0,0,0,0,0,0.00468202011459224,0.00616169915692912,0.00612781743065577,0.00604134057889955,0.0159383119014258,0.00856947669423162,0.00597458131353563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",0,0,0,0,0,0.00503471917252825,0.00662586322174397,0.00658942916706421,0.00649643796820969,0.00856947669423162,0.0184300398353754,0.00642464969198591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
