"","46","73","77","81","93","97","101","105","109","113","117","121","125","29","30","31","134","135","259","260","261","262","314","315","321","322","323","324","325","326","327","373","416","423","1","8","200","201","202","203","204","205","266","267","281","282","283","284","285","286","287","288","289","290","291","292","293","294","295","296","368","404","405","406","407","432"
"46",0.050004059419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73",0,0.0110028731688811,0.00545424449747631,0.00550894584812101,0.00211944452821693,0.00213169267516132,0.00216314796897155,0.00286030954943873,0.00287966046220608,0.0028920153560645,0.00282422257764622,0.00286446942541708,0.00279006234484531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77",0,0.00545424449747631,0.0108149144615745,0.00546168934565016,0.00210126363874265,0.00211340671938174,0.00214459218531371,0.00283577341693408,0.0028549583348846,0.00286720724674787,0.00279999600419673,0.00283989760891863,0.00276612880261636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81",0,0.00550894584812101,0.00546168934565016,0.0110329307233543,0.002122337494004,0.0021346023592298,0.00216610058838824,0.00286421376941561,0.00288359109548505,0.00289596285333059,0.00282807754020052,0.00286837932347551,0.00279387067990667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93",0,0.00211944452821693,0.00210126363874265,0.002122337494004,0.00163304440185436,0.000821240835346324,0.000833359079249763,0.0011019426163541,0.00110939761207226,0.00111415737105212,0.00108804000496676,0.00110354522073661,0.00107487967540897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97",0,0.00213169267516132,0.00211340671938174,0.0021346023592298,0.000821240835346324,0.00165197347695994,0.000838175013011746,0.00110831067879201,0.00111580875649785,0.00112059602184866,0.00109432772502019,0.00110992254453227,0.00108109134268154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101",0,0.00216314796897155,0.00214459218531371,0.00216610058838824,0.000833359079249763,0.000838175013011746,0.00170108627586465,0.00112466493024704,0.00113227364971657,0.00113713155603731,0.00111047564376865,0.0011263005807059,0.00109704394514435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105",0,0.00286030954943873,0.00283577341693408,0.00286421376941561,0.0011019426163541,0.00110831067879201,0.00112466493024704,0.00297426702754309,0.00149719444962516,0.00150361801196986,0.00146837115807697,0.00148929631848677,0.00145061055344365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109",0,0.00287966046220608,0.0028549583348846,0.00288359109548505,0.00110939761207226,0.00111580875649785,0.00113227364971657,0.00149719444962516,0.00301464690188235,0.00151379047074823,0.00147830516056828,0.00149937188640893,0.00146042439974032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
